Dataset,Exp_id,Status,Total_Time,theta,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
tr45_690n_8261d_10c_CDKM200,Exp_001_LWEA,SUCCESS,1.1317,1,0.21681159420289858,0.04696531161552509,0.24869565217391307,-0.008838318005789523,0.21699753896636587,0.7830024610336341,-0.5660049220672682,0.23359587149771746,0.1352055231570009,0.8579378761757855,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.0774193286895752
tr45_690n_8261d_10c_CDKM200,Exp_002_LWEA,SUCCESS,1.074,5,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.0739901304244995
tr45_690n_8261d_10c_CDKM200,Exp_003_LWEA,SUCCESS,1.0784,10,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.07471394538879395
tr45_690n_8261d_10c_CDKM200,Exp_004_LWEA,SUCCESS,1.0557,20,0.21652173913043476,0.04675308953227044,0.24797101449275366,-0.009365049491442212,0.2165835804884205,0.7834164195115795,-0.566832839023159,0.23319598041114348,0.13497454157919014,0.856449807942413,0.14802348916588798,203.48571861655824,0.014492753623188406,0.0015432340111864041,0.07229351997375488
