Dataset,Exp_id,Status,Total_Time,theta,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
isolet_1560n_617d_2c_CDKM200,Exp_001_LWEA,SUCCESS,1.8397,1,0.5848076923076924,0.027400592930409896,0.5848076923076924,0.03509463899238567,0.5175178862189767,0.48248211378102335,0.03503577243795332,0.5367167434842288,0.5167455570776519,0.5640118824265166,0.9265456824726044,260.92240225783604,0.7634615384615385,0.64951627548431,0.1396036386489868
isolet_1560n_617d_2c_CDKM200,Exp_002_LWEA,SUCCESS,1.8163,5,0.581025641025641,0.0256854564854313,0.581025641025641,0.032811844765111044,0.5163768688014999,0.48362313119850003,0.032753737602999954,0.5352687552695226,0.5156514301949809,0.5622309996379314,0.9274293083810162,256.25549750200486,0.7676923076923077,0.6558064150133606,0.13786044120788574
isolet_1560n_617d_2c_CDKM200,Exp_003_LWEA,SUCCESS,1.826,10,0.5812179487179487,0.02577651670786905,0.5812179487179487,0.03293564945048234,0.5164387921251296,0.48356120787487045,0.03287758425025904,0.5353150774867483,0.5157127318060284,0.5622607879924952,0.9274764470924097,256.1140761457675,0.7678205128205129,0.6559681677926921,0.13762264251708983
isolet_1560n_617d_2c_CDKM200,Exp_004_LWEA,SUCCESS,1.8228,20,0.5809615384615385,0.02569620195954563,0.5809615384615385,0.03282616224771168,0.5163840232890906,0.4836159767109093,0.032768046578181276,0.535279557759168,0.51565867354676,0.5622446594911292,0.927420298613997,256.3969188582422,0.7675641025641026,0.6555809030713624,0.1376272916793823
