Dataset,Exp_id,Status,Total_Time,theta,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_001_LWEA,SUCCESS,7.5458,1,0.5608756731444627,0.4838311635698001,0.6288222898618592,0.3962619194236918,0.8193878107184392,0.1806121892815607,0.6387756214368785,0.5060682960492595,0.4813882098328858,0.5369409402578823,0.859305019904866,417.2449904428963,0.1410442519316319,0.06520502233116682,0.6410836696624755
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_002_LWEA,SUCCESS,6.8999,5,0.5342308592835402,0.4327106789809017,0.5899321002107235,0.3320077363540877,0.803124936599264,0.19687506340073596,0.606249873198528,0.45156054545729596,0.4348708715163525,0.4716381582452037,0.8629490424483327,399.1800581966871,0.11463357527511123,0.05658531010087185,0.5973402976989746
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_003_LWEA,SUCCESS,7.0352,10,0.5309997658627956,0.4358996429248404,0.5914305783188949,0.3384584668291895,0.801045655658197,0.19895434434180304,0.6020913113163939,0.45940753844062937,0.435689748736846,0.48936711558023493,0.8501476182604202,422.66871425535265,0.10302036993678296,0.05017016949482964,0.6096029043197632
10X_PBMC_4271n_16653d_8c_CDKM200,Exp_004_LWEA,SUCCESS,7.2024,20,0.533692343713416,0.4377846545192928,0.5898618590494029,0.3387861711138509,0.8033810070312445,0.19661899296875557,0.6067620140624889,0.4581351999481945,0.43878340514455666,0.48288600521040764,0.8556660514001584,407.96494638163705,0.10339498946382582,0.05298602297286492,0.6226989984512329
