Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5144,0.4380,0.6006,0.3245,0.8103,0.1897,0.6206,0.4385,0.4491,0.4285,0.9011,323.5532,0.1105,0.0687,0.6956
2,0.5460,0.4419,0.6200,0.3528,0.8122,0.1878,0.6245,0.4667,0.4586,0.4750,0.8769,376.1859,0.1405,0.0749,0.5895
3,0.5582,0.4424,0.6015,0.3458,0.8127,0.1873,0.6254,0.4591,0.4585,0.4596,0.8954,355.5336,0.1555,0.0819,0.5975
4,0.5151,0.4098,0.5875,0.3140,0.8062,0.1938,0.6124,0.4307,0.4377,0.4240,0.8977,333.6047,0.1405,0.0794,0.6650
5,0.5889,0.4638,0.5970,0.3904,0.8060,0.1940,0.6120,0.5090,0.4526,0.5815,0.7789,503.7228,0.0244,0.0105,0.6835
6,0.5357,0.4281,0.5694,0.3219,0.7813,0.2187,0.5626,0.4554,0.3999,0.5288,0.7769,520.2080,0.0244,0.0102,0.6048
7,0.5001,0.4374,0.5718,0.3448,0.7975,0.2025,0.5949,0.4686,0.4289,0.5165,0.8291,466.2744,0.0805,0.0311,0.6094
8,0.4877,0.4287,0.5540,0.2945,0.8023,0.1977,0.6047,0.4132,0.4246,0.4025,0.9060,319.3553,0.1480,0.0862,0.5880
9,0.5631,0.4253,0.5996,0.3482,0.8056,0.1944,0.6112,0.4667,0.4440,0.4918,0.8642,417.0370,0.1199,0.0502,0.6018
10,0.5277,0.4624,0.5973,0.3510,0.7997,0.2003,0.5994,0.4734,0.4340,0.5207,0.8304,464.1744,0.0899,0.0369,0.5917
,,,,,,,,,,,,,,,
Mean,0.5337,0.4378,0.5899,0.3388,0.8034,0.1966,0.6068,0.4581,0.4388,0.4829,0.8557,407.9649,0.1034,0.0530,0.6227
Std,0.0310,0.0165,0.0194,0.0264,0.0092,0.0092,0.0185,0.0263,0.0181,0.0558,0.0493,76.5036,0.0483,0.0293,0.0417
Str,53.37±3.10,43.78±1.65,58.99±1.94,33.88±2.64,80.34±0.92,19.66±0.92,60.68±1.85,45.81±2.63,43.88±1.81,48.29±5.58,85.57±4.93,40796.49±7650.36,10.34±4.83,5.30±2.93,0.62±0.04
