Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.7222,0.7857,0.8444,0.6584,0.8899,0.1101,0.7798,0.7273,0.7577,0.6992,0.9358,7.6420,0.4000,0.2500,88.0219
,,,,,,,,,,,,,,,
Mean,0.7222,0.7857,0.8444,0.6584,0.8899,0.1101,0.7798,0.7273,0.7577,0.6992,0.9358,7.6420,0.4000,0.2500,88.0219
Std,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Str,72.22±0.00,78.57±0.00,84.44±0.00,65.84±0.00,88.99±0.00,11.01±0.00,77.98±0.00,72.73±0.00,75.77±0.00,69.92±0.00,93.58±0.00,764.20±0.00,40.00±0.00,25.00±0.00,88.02±0.00
