Round,ACC,NMI,Purity,AR,RI,MI,HI,F-Score,Precision,Recall,Entropy,SDCS,RME,Bal,Time
1,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1392
2,0.5404,0.0118,0.5404,0.0063,0.5029,0.4971,0.0059,0.6166,0.5016,0.7999,0.5141,849.9424,0.2295,0.1296,0.1355
3,0.5936,0.0265,0.5936,0.0344,0.5172,0.4828,0.0344,0.5261,0.5163,0.5364,0.9717,217.7889,0.8026,0.6702,0.1425
4,0.5538,0.0085,0.5538,0.0110,0.5055,0.4945,0.0110,0.5097,0.5051,0.5144,0.9866,149.9066,0.8641,0.7607,0.1543
5,0.5936,0.0265,0.5936,0.0344,0.5172,0.4828,0.0344,0.5261,0.5163,0.5364,0.9717,217.7889,0.8026,0.6702,0.1587
6,0.5532,0.0084,0.5532,0.0107,0.5053,0.4947,0.0107,0.5100,0.5049,0.5152,0.9853,156.9777,0.8577,0.7508,0.1288
7,0.5942,0.0268,0.5942,0.0349,0.5174,0.4826,0.0349,0.5263,0.5165,0.5364,0.9721,216.3747,0.8038,0.6720,0.1347
8,0.5936,0.0265,0.5936,0.0344,0.5172,0.4828,0.0344,0.5261,0.5163,0.5364,0.9717,217.7889,0.8026,0.6702,0.1811
9,0.5417,0.0056,0.5417,0.0064,0.5032,0.4968,0.0063,0.5285,0.5026,0.5572,0.9202,363.4529,0.6705,0.5043,0.1360
10,0.6897,0.1065,0.6897,0.1435,0.5717,0.4283,0.1435,0.5715,0.5715,0.5715,1.0000,2.8284,0.9974,0.9949,0.1744
,,,,,,,,,,,,,,,
Mean,0.5848,0.0274,0.5848,0.0351,0.5175,0.4825,0.0350,0.5367,0.5167,0.5640,0.9265,260.9224,0.7635,0.6495,0.1485
Std,0.0437,0.0293,0.0437,0.0402,0.0201,0.0201,0.0403,0.0327,0.0203,0.0846,0.1464,225.2774,0.2042,0.2200,0.0179
Str,58.48±4.37,2.74±2.93,58.48±4.37,3.51±4.02,51.75±2.01,48.25±2.01,3.50±4.03,53.67±3.27,51.67±2.03,56.40±8.46,92.65±14.64,26092.24±22527.74,76.35±20.42,64.95±22.00,0.15±0.02
